version	drug	organism	mg_per_L	comment
2024	Amikacin	Acinetobacter baumannii	8	NA
2024	Amikacin	Acinetobacter pittii	NA	insufficient data
2024	Amikacin	Aeromonas caviae	NA	unspecified
2024	Amikacin	Aeromonas hydrophila	NA	unspecified
2024	Amikacin	Aeromonas veronii	NA	unspecified
2024	Amikacin	Alcaligenes faecalis	NA	insufficient data
2024	Amikacin	Chryseobacterium spp	NA	insufficient data
2024	Amikacin	Citrobacter amalonaticus	NA	insufficient data
2024	Amikacin	Citrobacter braakii	NA	insufficient data
2024	Amikacin	Citrobacter freundii	8	NA
2024	Amikacin	Citrobacter koseri	4	tentative
2024	Amikacin	Enterobacter amnigenus	NA	insufficient data
2024	Amikacin	Enterobacter asburiae	NA	insufficient data
2024	Amikacin	Enterobacter cloacae	8	NA
2024	Amikacin	Enterobacter sakazakii	NA	insufficient data
2024	Amikacin	Enterococcus faecalis	NA	insufficient data
2024	Amikacin	Enterococcus faecium	NA	insufficient data
2024	Amikacin	Escherichia coli	8	NA
2024	Amikacin	Escherichia coli ATCC 25922	8	tentative
2024	Amikacin	Escherichia coli NCTC 13846	8	tentative
2024	Amikacin	Haemophilus influenzae	NA	insufficient data
2024	Amikacin	Klebsiella aerogenes	8	NA
2024	Amikacin	Klebsiella oxytoca	8	NA
2024	Amikacin	Klebsiella ozaenae	NA	insufficient data
2024	Amikacin	Klebsiella pneumoniae	8	NA
2024	Amikacin	Lactobacillus reuteri	NA	insufficient data
2024	Amikacin	Morganella morganii	8	tentative
2024	Amikacin	Mycobacterium abscessus	64	NA
2024	Amikacin	Mycobacterium avium	64	NA
2024	Amikacin	Mycobacterium avium ATCC 700898	NA	unspecified
2024	Amikacin	Mycobacterium intracellulare	64	NA
2024	Amikacin	Mycobacterium tuberculosis	4	tentative
2024	Amikacin	Mycobacterium tuberculosis 7H9	4	tentative
2024	Amikacin	Nocardia abscessus	NA	insufficient data
2024	Amikacin	Nocardia cyriacigeorgica	NA	insufficient data
2024	Amikacin	Plesiomonas shigelloides	NA	insufficient data
2024	Amikacin	Proteus mirabilis	16	NA
2024	Amikacin	Proteus vulgaris	8	NA
2024	Amikacin	Pseudomonas aeruginosa	16	NA
