drug	organism	mg_per_L	comment
Amikacin	Acinetobacter anitratus	8	
Ciprofloxacin	Acinetobacter anitratus	1	
Gentamicin	Acinetobacter anitratus	4	
Levofloxacin	Acinetobacter anitratus	0.5	
Tobramycin	Acinetobacter anitratus	4	
Amikacin	Acinetobacter baumannii	8	
Amoxicillin-Clavulanic acid (fixed)	Acinetobacter baumannii	NA	missing
Ampicillin	Acinetobacter baumannii	NA	missing
Aztreonam	Acinetobacter baumannii	NA	missing
Cefazolin	Acinetobacter baumannii	NA	missing
Cefepime	Acinetobacter baumannii	NA	missing
Cefepime-Clavulanate	Acinetobacter baumannii	NA	missing
Cefotaxime	Acinetobacter baumannii	NA	missing
Cefoxitin	Acinetobacter baumannii	NA	missing
Ceftazidime	Acinetobacter baumannii	NA	missing
Ceftibuten	Acinetobacter baumannii	NA	missing
Ceftobiprole	Acinetobacter baumannii	NA	missing
Ceftriaxone	Acinetobacter baumannii	NA	missing
Cefuroxime	Acinetobacter baumannii	NA	missing
Ciprofloxacin	Acinetobacter baumannii	1	
Colistin	Acinetobacter baumannii	NA	missing
Doripenem	Acinetobacter baumannii	1	
Doxycycline	Acinetobacter baumannii	NA	missing
Ertapenem	Acinetobacter baumannii	NA	missing
Gentamicin	Acinetobacter baumannii	4	
Imipenem	Acinetobacter baumannii	1	
Levofloxacin	Acinetobacter baumannii	0.5	
Meropenem	Acinetobacter baumannii	2	
Minocycline	Acinetobacter baumannii	NA	missing
Moxifloxacin	Acinetobacter baumannii	0.25	
Nalidixic acid	Acinetobacter baumannii	16	
Netilmicin	Acinetobacter baumannii	NA	missing
Ofloxacin	Acinetobacter baumannii	1	
Piperacillin	Acinetobacter baumannii	NA	missing
Piperacillin-Tazobactam	Acinetobacter baumannii	NA	missing
Rifampicin	Acinetobacter baumannii	NA	missing
Sulbactam	Acinetobacter baumannii	NA	missing
Tetracycline	Acinetobacter baumannii	NA	missing
Ticarcillin	Acinetobacter baumannii	NA	missing
Tigecycline	Acinetobacter baumannii	1	
Tobramycin	Acinetobacter baumannii	4	
Trimethoprim	Acinetobacter baumannii	NA	missing
Trimethoprim-Sulfamethoxazole	Acinetobacter baumannii	1	
Amikacin	Acinetobacter calcoaceticus	8	
Cefepime	Acinetobacter calcoaceticus	NA	missing
Cefotaxime	Acinetobacter calcoaceticus	NA	missing
Ceftobiprole	Acinetobacter calcoaceticus	NA	missing
Ciprofloxacin	Acinetobacter calcoaceticus	1	
Doripenem	Acinetobacter calcoaceticus	1	
Gentamicin	Acinetobacter calcoaceticus	4	
Imipenem	Acinetobacter calcoaceticus	NA	missing
Tobramycin	Acinetobacter calcoaceticus	4	
Amikacin	Acinetobacter lwoffii	8	
Ampicillin	Acinetobacter lwoffii	NA	missing
Ampicillin-Sulbactam (ratio)	Acinetobacter lwoffii	NA	missing
Cefepime	Acinetobacter lwoffii	NA	missing
Cefotaxime	Acinetobacter lwoffii	NA	missing
Cefoxitin	Acinetobacter lwoffii	NA	missing
Ceftazidime	Acinetobacter lwoffii	NA	missing
Ceftobiprole	Acinetobacter lwoffii	NA	missing
Ceftriaxone	Acinetobacter lwoffii	NA	missing
Cefuroxime	Acinetobacter lwoffii	NA	missing
Ciprofloxacin	Acinetobacter lwoffii	1	
Doripenem	Acinetobacter lwoffii	1	
Ertapenem	Acinetobacter lwoffii	NA	missing
Gentamicin	Acinetobacter lwoffii	NA	missing
Imipenem	Acinetobacter lwoffii	1	
Levofloxacin	Acinetobacter lwoffii	0.5	
Meropenem	Acinetobacter lwoffii	2	
Piperacillin	Acinetobacter lwoffii	NA	missing
Piperacillin-Tazobactam	Acinetobacter lwoffii	NA	missing
Ticarcillin	Acinetobacter lwoffii	NA	missing
Tobramycin	Acinetobacter lwoffii	2	
Ampicillin	Acinetobacter spp	NA	missing
Ampicillin-Sulbactam (ratio)	Acinetobacter spp	NA	missing
Aztreonam	Acinetobacter spp	NA	missing
Cefalothin (a.k.a. Cefalotin)	Acinetobacter spp	NA	missing
Cefazolin	Acinetobacter spp	NA	missing
Cefepime	Acinetobacter spp	NA	missing
Cefixime	Acinetobacter spp	NA	missing
Cefotaxime	Acinetobacter spp	NA	missing
Cefoxitin	Acinetobacter spp	NA	missing
Cefpirome	Acinetobacter spp	NA	missing
Ceftazidime	Acinetobacter spp	NA	missing
Ceftibuten	Acinetobacter spp	NA	missing
Ceftobiprole	Acinetobacter spp	NA	missing
Ceftriaxone	Acinetobacter spp	NA	missing
Cefuroxime	Acinetobacter spp	NA	missing
Ciprofloxacin	Acinetobacter spp	1	
Clinafloxacin	Acinetobacter spp	NA	missing
Colistin	Acinetobacter spp	NA	missing
Doripenem	Acinetobacter spp	1	
Ertapenem	Acinetobacter spp	NA	missing
Fosfomycin	Acinetobacter spp	NA	missing
Gatifloxacin	Acinetobacter spp	0.25	
Gentamicin	Acinetobacter spp	NA	missing
Imipenem	Acinetobacter spp	1	
Levofloxacin	Acinetobacter spp	0.5	
Loracarbef	Acinetobacter spp	NA	missing
Mecillinam	Acinetobacter spp	NA	missing
Meropenem	Acinetobacter spp	2	
Minocycline	Acinetobacter spp	NA	missing
Moxifloxacin	Acinetobacter spp	0.25	
Netilmicin	Acinetobacter spp	NA	missing
Nitrofurantoin	Acinetobacter spp	NA	missing
Norfloxacin	Acinetobacter spp	NA	missing
Ofloxacin	Acinetobacter spp	1	
Piperacillin	Acinetobacter spp	NA	missing
Piperacillin-Tazobactam	Acinetobacter spp	NA	missing
Sparfloxacin	Acinetobacter spp	NA	missing
Tetracycline	Acinetobacter spp	8	
Ticarcillin	Acinetobacter spp	NA	missing
Tigecycline	Acinetobacter spp	1	
Tobramycin	Acinetobacter spp	4	
Trimethoprim-Sulfamethoxazole	Acinetobacter spp	1	
Amoxicillin	Actinomyces israelii	NA	missing
Benzylpenicillin	Actinomyces israelii	NA	missing
Ceftriaxone	Actinomyces israelii	NA	missing
Ciprofloxacin	Actinomyces israelii	NA	missing
