drug	organism	mg_per_L	count
Amikacin	Acinetobacter anitratus	0.002	0
Ciprofloxacin	Acinetobacter anitratus	0.002	0
Gentamicin	Acinetobacter anitratus	0.002	0
Levofloxacin	Acinetobacter anitratus	0.002	0
Tobramycin	Acinetobacter anitratus	0.002	0
Amikacin	Acinetobacter baumannii	0.002	0
Amoxicillin-Clavulanic acid (fixed)	Acinetobacter baumannii	0.002	0
Ampicillin	Acinetobacter baumannii	0.002	0
Aztreonam	Acinetobacter baumannii	0.002	0
Cefazolin	Acinetobacter baumannii	0.002	0
Cefepime	Acinetobacter baumannii	0.002	0
Cefepime-Clavulanate	Acinetobacter baumannii	0.002	0
Cefotaxime	Acinetobacter baumannii	0.002	0
Cefoxitin	Acinetobacter baumannii	0.002	0
Ceftazidime	Acinetobacter baumannii	0.002	0
Ceftibuten	Acinetobacter baumannii	0.002	0
Ceftobiprole	Acinetobacter baumannii	0.002	0
Ceftriaxone	Acinetobacter baumannii	0.002	0
Cefuroxime	Acinetobacter baumannii	0.002	0
Ciprofloxacin	Acinetobacter baumannii	0.002	0
Colistin	Acinetobacter baumannii	0.002	0
Doripenem	Acinetobacter baumannii	0.002	0
Doxycycline	Acinetobacter baumannii	0.002	0
Ertapenem	Acinetobacter baumannii	0.002	0
Gentamicin	Acinetobacter baumannii	0.002	0
Imipenem	Acinetobacter baumannii	0.002	0
Levofloxacin	Acinetobacter baumannii	0.002	0
Meropenem	Acinetobacter baumannii	0.002	0
Minocycline	Acinetobacter baumannii	0.002	0
Moxifloxacin	Acinetobacter baumannii	0.002	0
Nalidixic acid	Acinetobacter baumannii	0.002	0
Netilmicin	Acinetobacter baumannii	0.002	0
Ofloxacin	Acinetobacter baumannii	0.002	0
Piperacillin	Acinetobacter baumannii	0.002	0
Piperacillin-Tazobactam	Acinetobacter baumannii	0.002	0
Rifampicin	Acinetobacter baumannii	0.002	0
Sulbactam	Acinetobacter baumannii	0.002	0
Tetracycline	Acinetobacter baumannii	0.002	0
Ticarcillin	Acinetobacter baumannii	0.002	0
Tigecycline	Acinetobacter baumannii	0.002	0
Tobramycin	Acinetobacter baumannii	0.002	0
Trimethoprim	Acinetobacter baumannii	0.002	0
