name	valid_species
Acinetobacter anitratus	TRUE
Acinetobacter baumannii	TRUE
Acinetobacter calcoaceticus	TRUE
Acinetobacter lwoffii	TRUE
Acinetobacter spp	FALSE
Actinomyces israelii	TRUE
Actinomyces spp	FALSE
Aeromonas hydrophila	TRUE
Aeromonas spp	FALSE
Alcaligenes xylosoxidans	TRUE
Anaerobic cocci Gram positive	FALSE
Bacteroides caccae	TRUE
Bacteroides capillosus	TRUE
Bacteroides distasonis	TRUE
Bacteroides fragilis	TRUE
Bacteroides fragilis group	FALSE
Bacteroides ovatus	TRUE
Bacteroides spp	FALSE
Bacteroides thetaiotaomicron	TRUE
Bacteroides uniformis	TRUE
Bacteroides ureolyticus	TRUE
Bacteroides vulgatus	TRUE
Bifidobacterium longum	TRUE
Bifidobacterium pseudolongum	TRUE
Bifidobacterium spp	FALSE
Bifidobacterium thermophilum	TRUE
Burkholderia cepacia	TRUE
Campylobacter coli	TRUE
Campylobacter jejuni	TRUE
Chryseobacterium meningosepticum	TRUE
Chryseobacterium spp	FALSE
Citrobacter braakii	TRUE
Citrobacter freundii	TRUE
Citrobacter koseri	TRUE
Citrobacter spp	FALSE
Clostridium butyricum	TRUE
Clostridium difficile	TRUE
Clostridium perfringens	TRUE
Clostridium ramosum	TRUE
Clostridium septicum	TRUE
Clostridium sporogenes	TRUE
Clostridium spp	FALSE
Corynebacterium amycolatum	TRUE
Corynebacterium jeikeium	TRUE
Corynebacterium pseudodiphtheriticum	TRUE
Corynebacterium spp	FALSE
Corynebacterium striatum	TRUE
Corynebacterium urealyticum	TRUE
Eikenella corrodens	TRUE
Enterobacter aerogenes	TRUE
Enterobacter agglomerans	TRUE
Enterobacter amnigenus	TRUE
Enterobacter asburiae	TRUE
Enterobacter cancerogenus	TRUE
Enterobacter cloacae	TRUE
Enterobacter dissolvens	TRUE
Enterobacter gergoviae	TRUE
Enterobacter hormaechei	TRUE
Enterobacter intermedium	TRUE
Enterobacter sakazakii	TRUE
Enterobacter spp	FALSE
Enterobacter taylorae	TRUE
Enterococcus avium	TRUE
Enterococcus casseliflavus	TRUE
Enterococcus durans	TRUE
Enterococcus faecalis	TRUE
Enterococcus faecium	TRUE
Enterococcus gallinarum	TRUE
Enterococcus hirae	TRUE
Enterococcus spp	FALSE
Escherichia coli	TRUE
Eubacterium lentum	TRUE
Fusobacterium spp	FALSE
Haemophilus influenzae	TRUE
Haemophilus parainfluenzae	TRUE
Hafnia alvei	TRUE
Helicobacter pylori	TRUE
Klebsiella oxytoca	TRUE
Klebsiella ozaenae	TRUE
Klebsiella pneumoniae	TRUE
Klebsiella spp	FALSE
Klebsiella terrigena	TRUE
Kluyvera spp	FALSE
Lactobacillus acidophilus	TRUE
Lactobacillus amylovorus	TRUE
Lactobacillus crispatus	TRUE
Lactobacillus delbrueckii	TRUE
Lactobacillus fermentum	TRUE
Lactobacillus gallinarum	TRUE
Lactobacillus gasseri	TRUE
Lactobacillus helveticus	TRUE
Lactobacillus johnsonii	TRUE
Lactobacillus lactis	TRUE
Lactobacillus paracasei	TRUE
Lactobacillus plantarum	TRUE
Lactobacillus reuteri	TRUE
Lactobacillus rhamnosus	TRUE
Lactobacillus sakei	TRUE
Lactobacillus spp	FALSE
Lactococcus lactis	TRUE
Legionella pneumophila	TRUE
Listeria monocytogenes	TRUE
Mannheimia haemolytica	TRUE
Moraxella catarrhalis	TRUE
Morganella morganii	TRUE
Mycobacterium marinum	TRUE
Mycobacterium tuberculosis	TRUE
Neisseria gonorrhoeae	TRUE
Neisseria meningitidis	TRUE
Pasteurella multocida	TRUE
Pasteurella spp	FALSE
Peptostreptococcus micros	TRUE
Peptostreptococcus spp	FALSE
Plesiomonas shigelloides	TRUE
Porphyromonas spp	FALSE
Prevotella spp	FALSE
Prevotella spp beta lactamase pos	FALSE
Propionibacterium acnes	TRUE
Proteus mirabilis	TRUE
Proteus spp	FALSE
Proteus vulgaris	TRUE
Providencia rettgeri	TRUE
Providencia spp	FALSE
Providencia stuartii	TRUE
Pseudomonas aeruginosa	TRUE
